image_path,label,source
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/92013/92013_Reddish Brown_6_1621461413.jpeg,44,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/60592/c0_3_LKNc_original_60592_1609705974580.jpg,14,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/57909b/57909_Bright Orange_5_1619493080.jpeg,5,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/60608/c1_4_JFGu_original_28961_1609884939452.jpg,18,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/60581/60581_Nougat_2_1608471355.jpeg,13,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/60475b/c1_13_cVdF_original-Bs10_1620810435374.jpg,7,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/64288/64288_Dark Azur_3_1619156854.jpeg,30,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/87580/87580_Nougat_3_1588728921.jpeg,39,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/60607/60607_Light Nougat_5_1619372603.jpeg,17,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/88323/88323_Cool Yellow_0_1619658801.jpeg,42,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/60484/60484_Light Royal Blue_0_1619480180.jpeg,12,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/54200/c2_13_Pin8_yOtn_original_1618574720316.jpg,4,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/60592/c3_4_grTs_original-D20_1620641870087.jpg,14,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/48171/47455_Bright Yellowish-Green_0_1619106794.jpeg,0,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/6232/c2_3_PN5L_original-T47_1621421082811.jpg,27,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/54200/c0_14_Pin8_F6s2_original_1618574725295.jpg,4,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/60592/c2_4_BOeq_original_60592_1609705999777.jpg,14,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/60607/60607_Flame Yellowish Orange_1_1621459496.jpeg,17,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/photos/85080/c0_3_Rima_original_85080_1609944418253.jpg,32,photos
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/60481/60481_Brick Yellow_3_1588688237.jpeg,10,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/6232/6232_Sand Blue_4_1619594191.jpeg,27,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/92013/92013_Bright Orange_3_1619600552.jpeg,44,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/6636/6636_Bright Reddish Violet_3_1588964476.jpeg,31,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/85984/85984_Sand Green_4_1587907465.jpeg,34,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/48933/48933_Light Stone Grey_1_1621176107.jpeg,2,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/87580/87580_Light Nougat_0_1608862874.jpeg,39,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/60592/60601_Cool Yellow_1_1608937077.jpeg,14,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/87552/87552_Dark Red_9_1587391092.jpeg,38,renders
/Users/jules/code/ChristopheVercarre/legofitter/data/lego-dataset-classification/renders/57909b/57909_Medium Azur_5_1589544313.jpeg,5,renders
